trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2085,False,"{'a': 0.002, 'e': 0.015483195569290899}",35,18,26.727967629872126,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2086,False,"{'a': 0.002, 'e': 0.015452260123909515}",20,5,14.293779746818295,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
2087,False,"{'a': 0.002, 'e': 0.015421386487589232}",35,15,32.43391391694718,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2088,False,"{'a': 0.002, 'e': 0.015390574536835447}",20,16,6.727852667316252,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2089,False,"{'a': 0.002, 'e': 0.015359824148400343}",30,10,35.01463797214235,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2090,False,"{'a': 0.002, 'e': 0.015329135199282314}",35,20,28.29011885257981,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2091,False,"{'a': 0.002, 'e': 0.015298507566725518}",20,6,23.707122460383744,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2092,False,"{'a': 0.002, 'e': 0.015267941128219376}",25,11,22.328348499468213,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2093,False,"{'a': 0.002, 'e': 0.015237435761498117}",25,15,14.687571707169408,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2094,False,"{'a': 0.002, 'e': 0.015206991344540219}",20,12,16.95361974445276,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2095,False,"{'a': 0.002, 'e': 0.015176607755567978}",25,20,10.250853649684583,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2096,False,"{'a': 0.002, 'e': 0.01514628487304698}",30,15,24.02330402106568,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2097,False,"{'a': 0.002, 'e': 0.015116022575685681}",20,5,19.890995015201327,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2098,False,"{'a': 0.002, 'e': 0.01508582074243484}",20,11,18.34518498535888,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2099,False,"{'a': 0.002, 'e': 0.015055679252487086}",30,13,35.93778605046389,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2100,False,"{'a': 0.002, 'e': 0.0150255979852764}",25,16,17.543193226288867,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2101,False,"{'a': 0.002, 'e': 0.014995576820477703}",25,11,22.9458898569207,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2102,False,"{'a': 0.002, 'e': 0.014965615638006283}",20,13,15.023643494379034,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2103,False,"{'a': 0.002, 'e': 0.014935714318017369}",35,12,39.72183636973046,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
2104,False,"{'a': 0.002, 'e': 0.014905872740905627}",25,19,8.229352940257865,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2105,False,"{'a': 0.002, 'e': 0.014876090787304737}",20,0,29.704619595909197,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2106,False,"{'a': 0.002, 'e': 0.014846368338086832}",35,17,35.11829194809058,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2107,False,"{'a': 0.002, 'e': 0.014816705274362072}",20,14,12.464289666308575,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2108,False,"{'a': 0.002, 'e': 0.014787101477478155}",20,0,30.606613731269537,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2109,False,"{'a': 0.002, 'e': 0.014757556829019875}",20,0,25.328725187774154,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2110,False,"{'a': 0.002, 'e': 0.014728071210808588}",20,6,24.146360098505852,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2111,False,"{'a': 0.002, 'e': 0.014698644504901784}",20,9,15.846920768470978,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2112,False,"{'a': 0.002, 'e': 0.014669276593592582}",20,7,22.740810945998447,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2113,False,"{'a': 0.002, 'e': 0.014639967359409327}",20,0,27.983395713103473,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2114,False,"{'a': 0.002, 'e': 0.01461071668511503}",25,7,31.2011443935905,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2115,False,"{'a': 0.002, 'e': 0.014581524453706954}",20,3,25.10868024887726,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2116,False,"{'a': 0.002, 'e': 0.014552390548416123}",20,6,27.937592126385088,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2117,False,"{'a': 0.002, 'e': 0.0145233148527069}",20,15,6.520721432896076,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2118,False,"{'a': 0.002, 'e': 0.014494297250276454}",30,12,32.818989476273636,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2119,False,"{'a': 0.002, 'e': 0.014465337625054335}",30,16,22.944525078196577,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2120,False,"{'a': 0.002, 'e': 0.014436435861201989}",30,16,26.62188618979911,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2121,False,"{'a': 0.002, 'e': 0.01440759184311235}",25,12,23.343256356083202,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2122,False,"{'a': 0.002, 'e': 0.014378805455409293}",20,0,28.495057031807075,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2123,False,"{'a': 0.002, 'e': 0.01435007658294723}",20,9,22.268631016412023,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2124,False,"{'a': 0.002, 'e': 0.01432140511081062}",25,15,16.216334056676793,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2125,False,"{'a': 0.002, 'e': 0.014292790924313561}",20,12,13.161686482241274,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2126,False,"{'a': 0.002, 'e': 0.014264233908999256}",20,14,9.433479399069821,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2127,False,"{'a': 0.002, 'e': 0.014235733950639606}",25,0,38.44882842313417,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2128,False,"{'a': 0.002, 'e': 0.014207290935234726}",20,0,-8.77332281433652,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
2129,False,"{'a': 0.002, 'e': 0.014178904749012544}",20,11,15.70270193379784,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2130,False,"{'a': 0.002, 'e': 0.014150575278428262}",20,16,5.8410577933483445,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2131,False,"{'a': 0.002, 'e': 0.014122302410163962}",25,16,11.76891578276226,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2132,False,"{'a': 0.002, 'e': 0.01409408603112812}",25,17,14.364953040669716,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2133,False,"{'a': 0.002, 'e': 0.014065926028455205}",35,19,25.47932134412336,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2134,False,"{'a': 0.002, 'e': 0.014037822289505161}",20,16,9.018213930392541,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2135,False,"{'a': 0.002, 'e': 0.01400977470186299}",20,14,12.133946422863803,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2136,False,"{'a': 0.002, 'e': 0.013981783153338296}",20,9,19.36691261890909,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2137,False,"{'a': 0.002, 'e': 0.013953847531964868}",20,4,23.620252833112893,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2138,False,"{'a': 0.002, 'e': 0.013925967726000174}",20,9,23.079898917387347,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2139,False,"{'a': 0.002, 'e': 0.013898143623924953}",25,3,22.00160394283922,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
2140,False,"{'a': 0.002, 'e': 0.013870375114442744}",20,5,21.919169721238767,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2141,False,"{'a': 0.002, 'e': 0.013842662086479501}",20,15,8.805563381105923,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2142,False,"{'a': 0.002, 'e': 0.01381500442918306}",20,13,13.266538907221292,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
