trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
91,False,"{'a': 0.02, 'e': 0.16529888822158653}",25,2,-138.12329110227645,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 3}",1
92,False,"{'a': 0.02, 'e': 0.16202575093388075}",25,0,-4.651793514575092,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
93,False,"{'a': 0.02, 'e': 0.15881742610692068}",20,0,7.217140200702156,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
94,False,"{'a': 0.02, 'e': 0.1556726303679973}",20,6,19.517021152446706,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.02, 'e': 0.15259010575688386}",20,5,13.092865005268774,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.02, 'e': 0.14956861922263504}",20,12,11.702291777523133,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.02, 'e': 0.14660696213035015}",20,8,21.775705877946375,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.02, 'e': 0.14370394977770293}",20,0,25.404857778125745,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
99,False,"{'a': 0.02, 'e': 0.140858420921045}",30,22,4.701401631240945,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.02, 'e': 0.13806923731089282}",25,0,-71.34199083302579,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
101,False,"{'a': 0.02, 'e': 0.1353352832366127}",20,0,0.8639781252913166,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
102,False,"{'a': 0.02, 'e': 0.13265546508012172}",25,0,-5.898318854847362,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
103,False,"{'a': 0.02, 'e': 0.1300287108784259}",30,7,-29.80358950173837,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
104,False,"{'a': 0.02, 'e': 0.12745396989482075}",25,3,-37.99662141744022,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
105,False,"{'a': 0.02, 'e': 0.12493021219858241}",25,15,17.965069741387783,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.02, 'e': 0.1224564282529819}",20,3,-5.759581280899436,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
107,False,"{'a': 0.02, 'e': 0.12003162851145673}",30,22,12.41520326636972,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.02, 'e': 0.11765484302177918}",25,0,35.1093058836248,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
109,False,"{'a': 0.02, 'e': 0.11532512103806251}",30,0,-78.14754258471442,"{0: 25, 1: 1, 2: 1, 3: 1, 4: 2}",0
110,False,"{'a': 0.02, 'e': 0.11304153064044985}",20,16,5.111872928457488,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.02, 'e': 0.11080315836233387}",20,0,23.041665897147443,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
112,False,"{'a': 0.02, 'e': 0.10860910882495796}",20,14,9.077528982427573,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.02, 'e': 0.1064585043792528}",20,0,25.819941322462736,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
114,False,"{'a': 0.02, 'e': 0.104350484754765}",25,0,-8.173935458540816,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
115,False,"{'a': 0.02, 'e': 0.10228420671553744}",20,8,18.758274765564472,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.02, 'e': 0.1002588437228037}",30,17,-4.852182537559024,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
117,False,"{'a': 0.02, 'e': 0.09827358560436154}",20,0,15.654436516536292,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
118,False,"{'a': 0.02, 'e': 0.09632763823049303}",20,0,16.09258189188015,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.02, 'e': 0.09442022319630235}",30,6,11.176844934779078,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
120,False,"{'a': 0.02, 'e': 0.09255057751034329}",25,0,-12.975673050945735,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
121,False,"{'a': 0.02, 'e': 0.09071795328941251}",20,1,16.941913056118576,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.02, 'e': 0.08892161745938634}",30,0,28.82251334815265,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
123,False,"{'a': 0.02, 'e': 0.0871608514619813}",25,14,-24.716145612398705,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
124,False,"{'a': 0.02, 'e': 0.08543495096732123}",20,0,8.16812578636834,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
125,False,"{'a': 0.02, 'e': 0.08374322559219596}",30,1,-3.2439254989233746,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 1}",1
126,False,"{'a': 0.02, 'e': 0.0820849986238988}",25,17,14.967874495731486,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.02, 'e': 0.08045960674953244}",20,13,11.04564154923956,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.02, 'e': 0.07886639979067495}",25,0,2.8755955032198175,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",1
